eng,tso,source
Treaty between the Government of the Republic of South Africa and the Government of the United Mexican States on Extradition (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Justice and Correctional Services on 9 March 2020 – reported on 29 May 202 0– approved on 17 June 2020) (NCOP: Referred to Select Committee on Security and Justice on 10 March 2020 – reported on 1 June 2020).,Ntwanano exikarhi ka Mfumo wa Riphabliki ra Afrika-Dzonga na Mfumo wa United Mexican States mayelana na ku Tlheriseriwa etikweni ra rikwavo ku ya langutana na nawu (Lowu andlariweke hi ti 5 Nyenyankulu 2020) (NA: Lowu hundziseriweke eka Komiti ya Vuangameri Ya Huvo y Rixaka ya swa Vululami na Vukorhokeri bya Makhotso hi ti 9 Nyenyankulu 2020) (NCOP: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vululami na Vukohokeri bya Makhotso hi ti 10 Nyenyankulu 2020 – lowu vikiweke hi ti 1 Khotavuxika 2020).,July
African Charter on Statistics (Tabled on 5 March 2020) (NA: Referred to Portfolio Committee on Public Service and Administration on 9 March 2020).,Chatara ya Afrika ya swa Tinhlayohlayo (Leyi andlariweke hi ti 5 Nyenyankulu 2020) (NA: Leyi hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vukorhokeri bya Mfumo na Vulawuri hi ti 9 Nyenyankulu 2020).,July
Treaty of Amity and Cooperation (TAC) in South East Asia (Tabled on 18 March 2020) (NA: Referred to Portfolio Committee on International Relations and Cooperation on 26 March 2020 – reported on 11 June 2020 – approved on 17 June 2020)(NCOP: Referred to Select Committee on Security and Justice on 29 June 2020) .,Ntwanano wa Vuxaka na Ntirhisano (TAC) eDzongaVuxa bya Asia (Lowu andlariweke hi ti 18 Nyenyankulu 2020) (NA: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Vuxaka bya Matiko ya Misava na Ntirhisano hi ti 26 Nyenyankulu 2020). Lowu vikiweke hi ti 11 Khotavuxika 202 – lowu pfumeleriweke hi ti 17 June 202) (NCOP: Lowu hundziseriweke eka Komiti ya Vuangameri ya Huvo ya Rixaka ya Swifundzankulu ya swa Vusirheleri na Vululami hi 29 Khotavuxika 2020).,July
MOTIONS:,TIMOXINI:,July
Draft resolution (Chief Whip of the Majority Party): That the House designates Dr M Q Ndlozi to replace Mr G A Gardee on the Magistrates Commission in terms of section 3(1)(a)(x) of the Magistrates Act (No 90 of 1993).,Xiboho xa mpfapfarhuto (Ximokonkulu xa Vandla leri Fumaka): Leswaku Huvo yi rhumela Dr M Q Ndlozi ku ya siva Tatana G A Gardee eka Khomixini ya Vamajisitarata ku ya hi xiyenge xa 3(1)(a)(x) xa Nawu wa Vamajisitarata (Nomboro ya 90 wa 1993).,July
"Draft resolution (Chief Whip of the Majority Party): That the House suspends Rule 290(2)(a), which provides inter alia that the debate on the Second Reading of the Bill may not commence before at least three Assembly working days have elapsed since the committee’s report was tabled, for the purposes of conducting the Second Reading today on the Division of Revenue Amendment Bill [B 9 - 2020] (National Assembly – sec 76).","Xiboho xa mpfapfarhuto (Ximokonkulu xa Vandla leri Fumaka): Leswaku Huvo yi yimisa Nawu wa 290(2)(a), lowu ku katsa na swin’wana, wu lulamiselaka leswaku njhekanjhekisano wa ku Hlayiwa ra Vumbirhi ka Nawumbisi ku nga sunguli loko ku nga se hundza masiku manharhu yo tirha ya Huvo ku sukela loko xiviko xa komiti xi ta va xi andlariwile, hi swikongomelo swo Hlayiwa ra Vumbirhi namuntlha ka Nawumbisi wo Cinca Maavelo ya Timali ta Tiko wa [B 9 - 2020] (Huvo ya Rixaka – xiyenge xa 76).",July
ORDERS OF THE DAY:,MINONGONOKO YA SIKU:,July
"Consideration of Report of Standing Committee on Appropriations on Division of Revenue Amendment Bill [B 9 - 2020] (Announcements, Tablings and Committee Reports, 14 July 2020, p 4).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Nkarhi Hinkwawo ya swa Mikavelo mayelana na Nawumbisi wo Cinca Maavelo ya Timali ta Tiko wa [B 9 - 2020] (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 14 Mawuwani 2020, papila ra 4).",July
Second Reading debate – Division of Revenue Amendment Bill [B 9 - 2020] (National Assembly – sec 76) – (Minister of Finance).,Njhekanjhekisano wo Hlaya ra Vumbirhi – Nawumbisi wo Cinca Maavelo ya Timali ta Tiko wa [B 9 - 2020] (Huvo ya Rixaka – xiyenge xa 76) – (Holobye wa Timali).,July
FURTHER BUSINESS,NTIRHO KU YISA EMAHLWENI,July
ORDERS OF THE DAY:,MINONGONOKO YA SIKU:,July
"Consideration of Report of Portfolio Committee on Mineral Resources on Special Adjusted Budget Vote No 34: Department of Mineral Resources and Energy (Announcements, Tablings and Committee Reports, 14 July 2020, p 24).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Swipfuno swa Swicelwa mayelana na Vhoti ya Mpimanyeto ya Nomboro ya 34 leyi Cinciweke hi Ndlela yo Hlawuleka: Ndzawulo ya Swipfuno swa Swicelwa na Eneji (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 14 Mawuwani 2020, papila ra 24).",July
"Consideration of Report of Portfolio Committee on Police on Unsolicited petition on Re-enlistment of former Police forum members into Police Service (Mr M Qongqo) (Announcements, Tablings and Committee Reports, 26 June 2020, p 20).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa mayelana na Phethixini leyi endliweke hi ku Tinyikela ya mayelana na ku katsiwa ka khale ka swirho swa foramu ya Maphorisa eka Mitirho ya Maphorisa (Tatana M Qongqo) (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 26 Khotavuxika 2020, papila ra 20).",July
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Wattville, Benoni calling on the Assembly to address the escalation of crime, including gender-based violence and violence against children, and the need for a police station in their area (submitted by Ms H Ismail, MP) and Petition from the residents of Actonville, Benoni, calling on the Assembly to investigate the high crime rate and drugs, the provision of police kiosks and police vehicles in their area (submitted by Ms H Ismail, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 15).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa mayelana na Phethixini yo suka eka vaaki va le Wattville, eBenoni lava rhambaka Huvo ya Rixaka ku languta vugevenga lebyi nga eku tlakukeni, ku katsa na madzolonga ya swa rimbewu na madozolonga eka vana, na ku laveka ka xitichi xa maphorisa endhawini ya ka vona (leyi tisiweke hi Manana H Ismail, Xirho xa Palamende) na Phethixini yo suka eka vaaki va le Actonville, eBenoni lava rhambaka Huvo ya Rixaka ku lavisisa xiyimo xa le henhla xa vugevenga na swidzidziharisi, vuphakeri bya switichitsongo swa maphorisa na mimovha ya maphorisa endhawini ya ka vona (leyi tisiweke hi Manana H Ismail, Xirho xa Palamende) (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 26 Khotavuxika 2020, papila ra 15).",July
"Consideration of Report of Portfolio Committee on Police on Petition of Mr Cornelius Basson (Announcements, Tablings and Committee Reports, 26 June 2020, p 10).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa mayelana na Petition of Mr Cornelius Basson (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 26 Khotavuxika 2020, papila ra 10).",July
"Consideration of Report of Portfolio Committee on Police on Application for Firearm Amnesty declaration (Announcements, Tablings and Committee Reports, 26 June 2020, p 9).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa mayelana na xitiviso xa Xikombelo xa Ndzivalelo wa Swibalesa (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 26 Khotavuxika 2020, papila ra 9).",July
"Consideration of Report of Portfolio Committee on Police on Petition from the residents of Kempton Park, calling on the Assembly to investigate chronic inadequate visible policing and shortage of vehicles at the Kempton Park police station (submitted by Mr M Waters, MP) (Announcements, Tablings and Committee Reports, 26 June 2020, p 4).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Maphorisa mayelana na Phethixini yo suka eka vaaki va le Kempton Park lava rhamabaka Huvo ya Rixaka ku lavisisa ku kayivela ka vukona bya maphorisa hi ndlela leyi ringaneleke leswi nga heriki na ku pfumaleka ka mimovha exitichini xa maphorisa xa Kempton Park (leyi tisiweke hi Tatana M Waters, Xirho xa Palamende) (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 26 Khotavuxika 2020, papila ra 4).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s fourth quarter financial and non-financial performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 25 June 2020, p 5).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mabindzu na Vumaki mayelana na matirhelo ya Ndzawulo ya Mabindzu na Vumaki na Ndzawulo ya Nhluvukiso wa Ikhonomi ya timali na yo ka ya nga ri ya timali ya kotara ya vumune ya lembeximali ra 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 25 Khotavuxika 2020, papila ra 5).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Gauteng (Announcements, Tablings and Committee Reports, 23 June 2020, p 17).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mabindzu na Vumaki mayelana na Rendzo ro Hoxa tihlo ra le Gauteng (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 23 Khotavuxika 2020, papila ra 17).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Oversight visit to Western Cape (Announcements, Tablings and Committee Reports, 23 June 2020, p 4).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Mabindzu na Vumaki mayelana na Rendzo ro Hoxa tihlo ra le Western Cape (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 23 Khotavuxika 2020, papila ra 4).",July
"Consideration of Report of Joint Standing Committee on Defence on Letters from the President on Employment of South African National Defence Force in Mozambique Channel, Democratic Republic of Congo, to Wuhan City in Hubei Province of People’s Republic of China, and in support of South African Police Service and other State Departments (Announcements, Tablings and Committee Reports, 19 June 2020, p 3).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Nkarhi Hinkwawo ya Nhlanganelo hi mayelana na ku yimeleriwa ka Mapapila yo huma eka Presidente ya Ku Thoriwa ka Masocha yo Sirhelela Afrika-Dzonga eka Chanele ya Mozambique, Rhiphabliki ra Xidemokirasi ra Congo, Dorobankulu ra Wuhan eka Xifundzankulu xa Hubei, eka Dorobankulu ra Wuhan Rhiphabliki ra Vanhu ra China na ku seketeriwa hi Vukorhokeri bya Maphorisa ya Afrika-Dzonga na Tindzawulo tin’wana ta Mfumo (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 19 Khotavuxika 2020, papila ra 3).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on Second Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 120).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vuthori na Vatirhi hi mayelana na Xiviko xa Kotara hi Kotara xa Vumbirhi xa matirhelo ya Ndzawulo ya swa Vuthori na Vatirhi na mihlangano ya yona eka ku fikelela swikongomelonkulu swa qhinga hi 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila ra 120)",July
"Consideration of Report of Portfolio Committee on Employment and Labour on First Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2019/20 (Announcements, Tablings and Committee Reports, 18 June 2020, p 81).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vuthori na vatirhi hi mayelana na Xiviko xa Kotara hi Kotara xo Sungula xa matirhelo ya Ndzawulo ya Vuthori na Vatirhi na minhlangano ya yona eka ku fikelela swikongomelonkulu swa qhinga hi 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila rap 81).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on Third Quarterly Report regarding performance of Department of Employment and Labour and entities in meeting strategic objectives for 2018/19 (Announcements, Tablings and Committee Reports, 18 June 2020, p 12).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vuthori na Vatirhi hi mayelana na Xiviko xa Kotara hi Kotara xa Vunharhu xa matirhelo ya Ndzawulo ya swa Vuthori na Vatirhi na mihlangano ya yona eka ku fikelela swikongomelonkulu swa qhinga hi 2018/19 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papia ra 12).",July
"Consideration of Report of Portfolio Committee on Employment and Labour on Oversight visit to Compensation Fund Head-Quarters (Announcements, Tablings and Committee Reports, 18 June 2020, p 3).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vuthori na Vatirhi hi mayelana na rendzo ro Hoxa tihlo eka Hofisinkulu ya Nkwama wa Ndziriso (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 18 Khotavuxika 2020, papila 3).",July
"Consideration of Report of Portfolio Committee on Trade and Industry on Departments of Trade and Industry and of Economic Development’s Third Quarter Financial and Non-financial Performance for 2019/20 financial year (Announcements, Tablings and Committee Reports, 19 May 2020, p 3).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Bindzu na Vumaki hi mayelana na Ndzawulo ya swa Bindzu na Vumaki na Matirhelo ya swa Timali na yo ka ya nga ri ya timali ya Kotara ya Vunharhu ya Ndzawulo ya swa Nhluvukiso wa Ikhonomi eka lembeximali ra 2019/20 (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 19 Mudyaxihi 2020, papila ra 3).",July
"Consideration of Report of Portfolio Committee on International Relations and Cooperation on Oversight visit on pilot project for acquisition of office accommodation for South African Permanent Mission to United Nations and Consulate-General in New York, United States of America (Announcements, Tablings and Committee Reports, 16 March 2020, p 11).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vuxaka bya Matiko Misava na Timhaka ta Ndhavuko hi mayelana na  rendzo ro Hoxa tihlo eka phurojeke yo ringeta ya makumelo ya ndhawu ya hofisi ya Mixini wa Nkarhi Hinkwawo ya Afrika-Dzonga eka Nhlangano wa Matiko na Khonsuleti-Jenerali eNew York, United States of America (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 16 Nyenyankulu 2020, papila 11).",July
"Decision of Question on Report of Portfolio Committee on Higher Education, Science and Technology on 2019/20 First Quarter financial and service delivery performance report of Department of Higher Education and Training (Announcements, Tablings and Committee Reports, 5 December 2019, p 64).","Xiboho hi mayelana na Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Dyondzo ya le Henhla, Sayense na Thekinoloji eka Swiviko hi mayelana na xiviko xa Kotara yo Sungula xa matirhelo ya swa timali na mphakelo wa vukorhokeri xa Dyondzo ya le Henhla na Vuleteri (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 5 N’wendzamhala 2019, papila ra 64).",July
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department Public Service and Administration, Entities and Public Service Commission (Announcements, Tablings and Committee Reports, 11 March 2020, p 30).","Ku tekeriwa enhlokweni ka Xiviko xa Komito ya Vuangameri ya Huvo ya Rixaka ya swa Vukorhokeri bya Mfumo na Vulawuri eka Matirhelo ya Kotara ya Vumbirhi na ya Vunharhu ya lembeximali ra 2019/20: Ndzawulo ya Vukorhokeri bya Mfumo na Vulawuri, Minhlangano na Khomixini ya Mintirho ya Mfumo (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 11 Nyenyankulu 2020, papila ra  30).",July
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Statistics South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 23).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vukorhokeri bya Mfumo na Vulawuri eka Matirhelo ya Kotara ya Vumbirhi na ya Vunharhu ya lembeximali ra 2019/20: Tinhlayonhlayo ta Afrika-Dzonga (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 11 Nyenyankulu 2020, papila ra 23).",July
"Consideration of Report of Portfolio Committee Public Service and Administration on Second and Third quarter performance of 2019/20 financial year: Department of Planning, Monitoring and Evaluation and Brand South Africa (Announcements, Tablings and Committee Reports, 11 March 2020, p 15).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Vukorhokeri bya Mfumo na Vulawuri eka Matirhelo ya Kotara ya Vumbirhi na ya Vunharhu ya lembe ximali ra 2019/20: Ndzawulo yo Pulana, ku Kambisisa Matirhelo no Pima na Burende ya Afrika-Dzonga (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 11 Nyenyankulu 2020, papila ra 15).",July
"Consideration of Report of Portfolio Committee on Basic Education on oversight visit to Capricorn and Sekhukhune Education Districts, Limpopo Province (Announcements, Tablings and Committee Reports, 26 February 2020, p 6).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti Vuangameri ya Huvo ya Rixaka ya swa Dyondzo ya le Hansi eka rendzo ro hoxa tihlo eka Swifundza swa Dyondzo swa Capricorn na Sekhukhune, Xifundzankulu xa Limpopo (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 26 Nyenyenyana 2020, papila ra 6).",July
"Consideration of Report of Portfolio Committee on Basic Education on Submission from the Griqua People’s Heritage on the lack of a Primary School (Announcements, Tablings and Committee Reports, 11 February 2020, p 5).","Ku tekeriwa enhlokweni ka Xiviko xa Komiti ya Vuangameri ya Huvo ya Rixaka ya swa Dyondzo ya le Hansi eka Swibumabumelo swo huma eka Ndzhaka ya Vanhu va le Griqua eka ku pfumaleka ka Xikolo xa Purayimari (Switiviso, Leswi andlariweke na Swiviko swa Komiti, 11 Nyenyenyana 2020, papila ra 5).",July
